Average Variability,Centroid_Latitude,Centroid_Longitude,Number_Destination_Zones_in_Region,Region_Name,Time,Weekday
2.941142344,38.89787925,-77.02626283,1,R2,07:00AM-09:00AM,Sundays
1.865036746,38.89787925,-77.02626283,1,R2,12:00AM-02:00AM,Thursdays
1.665428685,38.89787925,-77.02626283,1,R2,04:00PM-06:00PM,Thursdays
2.007448887,38.89787925,-77.02626283,1,R2,06:00PM-08:00PM,Thursdays
2.701771309,38.89787925,-77.02626283,1,R2,08:00PM-10:00PM,Thursdays
2.615984122,38.89787925,-77.02626283,1,R2,10:00PM-12:00AM,Thursdays
2.16878617,38.89787925,-77.02626283,1,R2,07:00AM-09:00AM,Thursdays
2.466100778,38.89787925,-77.02626283,1,R2,12:00AM-02:00AM,Tuesdays
1.628076861,38.89787925,-77.02626283,1,R2,04:00PM-06:00PM,Tuesdays
2.231656234,38.89787925,-77.02626283,1,R2,06:00PM-08:00PM,Tuesdays
2.548199566,38.89787925,-77.02626283,1,R2,08:00PM-10:00PM,Tuesdays
2.537200574,38.89787925,-77.02626283,1,R2,10:00PM-12:00AM,Tuesdays
2.269405222,38.89787925,-77.02626283,1,R2,07:00AM-09:00AM,Tuesdays
1.909129189,38.89787925,-77.02626283,1,R2,12:00AM-02:00AM,Wednesdays
1.620563309,38.89787925,-77.02626283,1,R2,04:00PM-06:00PM,Wednesdays
1.383169085,38.89787925,-77.02626283,1,R2,06:00PM-08:00PM,Wednesdays
2.256046502,38.89787925,-77.02626283,1,R2,08:00PM-10:00PM,Wednesdays
1.912565809,38.89787925,-77.02626283,1,R2,10:00PM-12:00AM,Wednesdays
1.971086395,38.89787925,-77.02626283,1,R2,07:00AM-09:00AM,Wednesdays
2.648325636,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Fridays
2.286111395,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Fridays
2.2742826,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Fridays
2.550390482,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Fridays
2.300756462,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Fridays
2.209830031,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Fridays
2.137001361,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Mondays
1.919349736,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Mondays
1.892523489,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Mondays
2.465536315,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Mondays
2.551542048,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Mondays
2.524936647,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Mondays
2.239016351,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Saturdays
2.435239246,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Saturdays
2.452414711,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Saturdays
1.965173805,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Saturdays
2.29306648,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Saturdays
2.498529501,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Saturdays
2.573705876,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Sundays
2.113985014,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Sundays
2.274108578,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Sundays
2.416143344,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Sundays
2.041179463,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Sundays
1.994702746,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Sundays
1.67618277,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Thursdays
1.749098417,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Thursdays
2.19125728,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Thursdays
2.64565459,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Thursdays
2.40877996,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Thursdays
2.19798173,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Thursdays
2.300672535,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Tuesdays
1.60703109,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Tuesdays
1.936801215,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Tuesdays
2.459970199,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Tuesdays
2.413628232,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Tuesdays
2.321415413,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Tuesdays
2.441133941,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Wednesdays
1.948293291,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Wednesdays
2.000780298,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Wednesdays
1.827843672,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Wednesdays
2.351151156,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Wednesdays
2.32440061,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Wednesdays
2.60498359,38.90364609,-77.05208036,1,R4,12:00AM-02:00AM,Fridays
1.747057151,38.90364609,-77.05208036,1,R4,04:00PM-06:00PM,Fridays
1.996392004,38.90364609,-77.05208036,1,R4,06:00PM-08:00PM,Fridays
2.343478839,38.90364609,-77.05208036,1,R4,08:00PM-10:00PM,Fridays
1.94281604,38.90364609,-77.05208036,1,R4,10:00PM-12:00AM,Fridays
2.763457158,38.90364609,-77.05208036,1,R4,07:00AM-09:00AM,Fridays
1.862141344,38.90364609,-77.05208036,1,R4,12:00AM-02:00AM,Mondays
1.659727791,38.90364609,-77.05208036,1,R4,04:00PM-06:00PM,Mondays
2.106127733,38.90364609,-77.05208036,1,R4,06:00PM-08:00PM,Mondays
2.045524011,38.90364609,-77.05208036,1,R4,08:00PM-10:00PM,Mondays
2.417890955,38.90364609,-77.05208036,1,R4,10:00PM-12:00AM,Mondays
2.384680246,38.90364609,-77.05208036,1,R4,07:00AM-09:00AM,Mondays
2.139017161,38.90364609,-77.05208036,1,R4,12:00AM-02:00AM,Saturdays
2.804047024,38.90364609,-77.05208036,1,R4,04:00PM-06:00PM,Saturdays
2.062591953,38.90364609,-77.05208036,1,R4,06:00PM-08:00PM,Saturdays
2.332157251,38.90364609,-77.05208036,1,R4,08:00PM-10:00PM,Saturdays
2.134075315,38.90364609,-77.05208036,1,R4,10:00PM-12:00AM,Saturdays
1.620921267,38.90364609,-77.05208036,1,R4,07:00AM-09:00AM,Saturdays
2.501811325,38.90364609,-77.05208036,1,R4,12:00AM-02:00AM,Sundays
2.19836629,38.90364609,-77.05208036,1,R4,04:00PM-06:00PM,Sundays
2.254179262,38.90364609,-77.05208036,1,R4,06:00PM-08:00PM,Sundays
1.872408565,38.90364609,-77.05208036,1,R4,08:00PM-10:00PM,Sundays
2.044406994,38.90364609,-77.05208036,1,R4,10:00PM-12:00AM,Sundays
2.087760536,38.90364609,-77.05208036,1,R4,07:00AM-09:00AM,Sundays
2.037993239,38.90364609,-77.05208036,1,R4,12:00AM-02:00AM,Thursdays
1.837738054,38.90364609,-77.05208036,1,R4,04:00PM-06:00PM,Thursdays
2.183778538,38.90364609,-77.05208036,1,R4,06:00PM-08:00PM,Thursdays
1.973341119,38.90364609,-77.05208036,1,R4,08:00PM-10:00PM,Thursdays
2.40973,38.90364609,-77.05208036,1,R4,10:00PM-12:00AM,Thursdays
2.062502386,38.90364609,-77.05208036,1,R4,07:00AM-09:00AM,Thursdays
2.017674289,38.90364609,-77.05208036,1,R4,12:00AM-02:00AM,Tuesdays
1.851895875,38.90364609,-77.05208036,1,R4,04:00PM-06:00PM,Tuesdays
2.189997788,38.90364609,-77.05208036,1,R4,06:00PM-08:00PM,Tuesdays
2.131143898,38.90364609,-77.05208036,1,R4,08:00PM-10:00PM,Tuesdays
2.110319963,38.90364609,-77.05208036,1,R4,10:00PM-12:00AM,Tuesdays
2.414604452,38.90364609,-77.05208036,1,R4,07:00AM-09:00AM,Tuesdays
2.167367358,38.90364609,-77.05208036,1,R4,12:00AM-02:00AM,Wednesdays
1.812369269,38.90364609,-77.05208036,1,R4,04:00PM-06:00PM,Wednesdays
1.574926608,38.90364609,-77.05208036,1,R4,06:00PM-08:00PM,Wednesdays
1.63836188,38.90364609,-77.05208036,1,R4,08:00PM-10:00PM,Wednesdays
2.107700384,38.90364609,-77.05208036,1,R4,10:00PM-12:00AM,Wednesdays
2.338854178,38.90364609,-77.05208036,1,R4,07:00AM-09:00AM,Wednesdays
1.914577511,38.92196625,-77.04716763,12,R5,12:00AM-02:00AM,Fridays
1.469436312,38.92196625,-77.04716763,12,R5,04:00PM-06:00PM,Fridays
2.260356924,38.92196625,-77.04716763,12,R5,06:00PM-08:00PM,Fridays
2.067824099,38.92196625,-77.04716763,12,R5,08:00PM-10:00PM,Fridays
2.364731567,38.92196625,-77.04716763,12,R5,10:00PM-12:00AM,Fridays
1.942476315,38.92196625,-77.04716763,12,R5,07:00AM-09:00AM,Fridays
2.170592047,38.92196625,-77.04716763,12,R5,12:00AM-02:00AM,Mondays
1.493228079,38.92196625,-77.04716763,12,R5,04:00PM-06:00PM,Mondays
1.771184981,38.92196625,-77.04716763,12,R5,06:00PM-08:00PM,Mondays
2.272823491,38.92196625,-77.04716763,12,R5,08:00PM-10:00PM,Mondays
2.542778421,38.92196625,-77.04716763,12,R5,10:00PM-12:00AM,Mondays
2.317632146,38.92196625,-77.04716763,12,R5,07:00AM-09:00AM,Mondays
2.004602984,38.92196625,-77.04716763,12,R5,12:00AM-02:00AM,Saturdays
2.662167516,38.92196625,-77.04716763,12,R5,04:00PM-06:00PM,Saturdays
2.140078793,38.92196625,-77.04716763,12,R5,06:00PM-08:00PM,Saturdays
2.275086588,38.92196625,-77.04716763,12,R5,08:00PM-10:00PM,Saturdays
2.249433677,38.92196625,-77.04716763,12,R5,10:00PM-12:00AM,Saturdays
1.7735322,38.92196625,-77.04716763,12,R5,07:00AM-09:00AM,Saturdays
1.818908338,38.92196625,-77.04716763,12,R5,12:00AM-02:00AM,Sundays
2.176887176,38.92196625,-77.04716763,12,R5,04:00PM-06:00PM,Sundays
1.834285238,38.92196625,-77.04716763,12,R5,06:00PM-08:00PM,Sundays
1.937396963,38.92196625,-77.04716763,12,R5,08:00PM-10:00PM,Sundays
1.827901578,38.92196625,-77.04716763,12,R5,10:00PM-12:00AM,Sundays
2.298333694,38.92196625,-77.04716763,12,R5,07:00AM-09:00AM,Sundays
1.855094561,38.92196625,-77.04716763,12,R5,12:00AM-02:00AM,Thursdays
1.580574574,38.92196625,-77.04716763,12,R5,04:00PM-06:00PM,Thursdays
1.735834088,38.92196625,-77.04716763,12,R5,06:00PM-08:00PM,Thursdays
2.117123703,38.92196625,-77.04716763,12,R5,08:00PM-10:00PM,Thursdays
2.000950369,38.92196625,-77.04716763,12,R5,10:00PM-12:00AM,Thursdays
1.398012376,38.92196625,-77.04716763,12,R5,07:00AM-09:00AM,Thursdays
1.66191011,38.92196625,-77.04716763,12,R5,12:00AM-02:00AM,Tuesdays
1.828315799,38.92196625,-77.04716763,12,R5,04:00PM-06:00PM,Tuesdays
1.894836714,38.92196625,-77.04716763,12,R5,06:00PM-08:00PM,Tuesdays
2.213222931,38.92196625,-77.04716763,12,R5,08:00PM-10:00PM,Tuesdays
1.934229824,38.92196625,-77.04716763,12,R5,10:00PM-12:00AM,Tuesdays
1.986900027,38.92196625,-77.04716763,12,R5,07:00AM-09:00AM,Tuesdays
1.886475865,38.92196625,-77.04716763,12,R5,12:00AM-02:00AM,Wednesdays
1.919360486,38.92196625,-77.04716763,12,R5,04:00PM-06:00PM,Wednesdays
1.698954828,38.92196625,-77.04716763,12,R5,06:00PM-08:00PM,Wednesdays
1.44473235,38.92196625,-77.04716763,12,R5,08:00PM-10:00PM,Wednesdays
1.974888899,38.92196625,-77.04716763,12,R5,10:00PM-12:00AM,Wednesdays
1.554777747,38.92196625,-77.04716763,12,R5,07:00AM-09:00AM,Wednesdays
