Latitude,Longitude,Radius
38.90364609,-77.05208036,0.015496908
38.89787925,-77.02626283,0.012656732
38.90510748,-77.03665252,0.012656732
38.89335969,-77.00886738,0.017972991
38.92196625,-77.04716763,0.018967425
